product_id,product_name,category,price,stock_quantity,description,keywords
PRO-031B,Vitamin C Brightening Serum,Beauty & Personal Care,32.00,100,"A daily serum to brighten and even out skin tone.","serum,skincare,vitamin c,brightening,beauty,cosmetic,face"
PROD-032,Vitamin C Brightening Moisturizer,Beauty & Personal Care,30.00,90,"A daily moisturizer to brighten and even out skin tone.","moisturizer,skincare,vitamin c,brightening,face cream,cosmetic"
PROD-034,Matte Liquid Lipstick (Ruby Red),Beauty & Personal Care,15.00,200,"A long-lasting liquid lipstick with a bold matte finish.","lipstick,makeup,matte,red,cosmetics,beauty"
PROD-039,Argan Oil Hair Treatment,Beauty & Personal Care,28.00,75,"A nourishing oil to repair and add shine to your hair.","hair oil,argan oil,hair care,treatment,beauty,serum"
PROD-040,SPF 50 Daily Sunscreen,Beauty & Personal Care,19.99,250,"A lightweight, non-greasy sunscreen for daily protection.","sunscreen,spf,skincare,sun protection,beauty,face"
PROD-041,Men's Classic Cotton T-Shirt,Apparel,25.00,500,"A soft and durable 100% cotton t-shirt.","t-shirt,mens,apparel,clothing,basic,cotton"
PROD-041B,Women's Organic Cotton V-Neck Tee,Apparel,28.00,450,"A soft and breathable v-neck made from organic cotton.","t-shirt,womens,apparel,clothing,basic,cotton,organic"
PROD-042,Women's High-Waist Yoga Leggings,Apparel,49.99,300,"Stretchy and comfortable leggings perfect for yoga or lounging.","leggings,womens,yoga,activewear,apparel,clothing,fitness"
PROD-043,Unisex Vintage Denim Jacket,Apparel,89.50,100,"A timeless denim jacket with a classic vintage wash.","denim jacket,jacket,unisex,apparel,clothing,outerwear"
PROD-044,Merino Wool Hiking Socks,Apparel,18.00,400,"Warm and breathable merino wool socks for hiking and outdoors.","socks,hiking,merino wool,outdoor,apparel,fitness"
PROD-051,Professional Yoga Mat,Sports & Outdoors,39.99,180,"A non-slip, cushioned yoga mat for your daily practice.","yoga mat,yoga,fitness,exercise,sports"
PROD-052,Insulated Stainless Steel Water Bottle,Sports & Outdoors,24.99,400,"Keeps your drinks cold for 24 hours or hot for 12.","water bottle,insulated,stainless steel,reusable,fitness,travel,hiking"
PROD-054,Resistance Loop Bands (Set of 5),Sports & Outdoors,15.99,500,"A set of five resistance bands for workouts and physical therapy.","resistance bands,fitness,exercise,home gym,workout,yoga"
PROD-055,2-Person Camping Tent,Sports & Outdoors,99.00,70,"A lightweight and waterproof tent for camping adventures.","tent,camping,outdoor,hiking,shelter,waterproof"
PROD-056,High-Lumen LED Headlamp,Sports & Outdoors,19.99,250,"A bright and reliable headlamp for hiking, camping, and running.","headlamp,lighting,outdoor,camping,hiking,running,gadget,rechargeable"
PROD-065,Men's Performance Running Shoes,Apparel,120.00,80,"Lightweight and cushioned running shoes for avid runners.","running shoes,sneakers,mens,athletic,sports,fitness,footwear"
PROD-077,SoundWave Portable Bluetooth Speaker,Electronics,35.00,200,"A compact, waterproof speaker with powerful sound.","bluetooth speaker,portable,audio,wireless,waterproof,outdoor,gadget"
PROD-081,Travel Neck Pillow,Apparel,19.99,250,"A memory foam neck pillow for comfortable travel.","neck pillow,travel,comfort,accessories,flying,gadget"
PROD-087,Reusable Silicone Food Storage Bags,Home & Kitchen,18.99,220,"An eco-friendly alternative to single-use plastic bags.","reusable bags,silicone,storage,kitchen,eco-friendly,sustainable,food"
